bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,model_info,numberOfDoors,vehicleTransmission,Владельцы,ПТС,Привод,Руль,sample,price,model_time,xDrive,comment_length
универсал,MERCEDES,чёрный,0.20943600504268312,-0.3266064607741155,бензин,2.8055239742176266,E_KLASSE,5,автоматическая,-2,Оригинал,задний,Левый,0,0.0,4.801458534301869,0,1.4053579992394543
купе,BMW,белый,0.20943600504268312,0.5275658713125393,дизель,-1.2872418420327085,E_KLASSE,2,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,1,-0.24055846595755992
купе,BMW,пурпурный,-0.26414790132481364,-0.34497575823834464,бензин,0.5648874049629654,E_KLASSE,2,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.9387422541300967,0,0.14225917343411387
седан,BMW,белый,-0.7377318076923104,-1.0981169542717393,бензин,0.32543006168384137,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,0.9387422541300967,0,-0.6193884216055704
седан,BMW,чёрный,-0.7377318076923104,-0.6021459227375525,дизель,-1.1772869395065801,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,1,-0.008275887889174521
седан,BMW,синий,0.20943600504268312,0.7755513870796327,бензин,-0.5908607927005619,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,1,0.15222838279327203
внедорожник,AUDI,коричневый,0.20943600504268312,-0.0969902424712513,дизель,0.16190268720470483,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.20298677219261632,0,0.23796358328203232
родстер,MERCEDES,белый,0.6830199114101799,0.5551198175088831,бензин,-0.2365616623385927,E_KLASSE,2,автоматическая,-2,Дубликат,задний,Левый,0,0.0,0.3869256426769864,0,1.2398691238774284
лифтбек,AUDI,коричневый,-0.9271653702393091,-0.7858388973798439,бензин,-0.2696214363647819,E_KLASSE,5,вариатор,-1,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.28242914526602425
седан,AUDI,серый,-0.9271653702393091,-0.8776853847009896,бензин,0.9638282257505428,E_KLASSE,4,вариатор,0,Оригинал,передний,Левый,0,0.0,0.5708645131613566,0,-0.07806035340328171
родстер,MERCEDES,серый,0.20943600504268312,-0.22557532472085526,бензин,1.339458607202581,E_KLASSE,2,автоматическая,-1,Дубликат,задний,Левый,0,0.0,3.8817641818800186,0,-0.47483488589777695
седан,BMW,зелёный,-0.5482982451453116,-0.7858388973798439,бензин,1.297920088470488,E_KLASSE,4,автоматическая,-2,Дубликат,задний,Левый,0,0.0,1.6744977360675772,0,-0.7300466454922261
внедорожник,MERCEDES,серебристый,2.577355536880167,1.2164145262211319,бензин,1.4738479325122935,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.7548033836457266,0,-0.3252967455104044
седан,AUDI,коричневый,-0.7377318076923104,-0.6939924100586983,бензин,-0.30860655791599034,E_KLASSE,4,вариатор,-1,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,1.1900230770816376
купе,BMW,красный,1.9143380679656714,1.023536902846726,бензин,-0.41824381294593216,E_KLASSE,2,автоматическая,-1,Оригинал,задний,Левый,0,0.0,0.5708645131613566,0,-0.4558933881153764
